ゴブリン,無,1,マキ割りダイナマイト,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ハーピー,無,1,羽毛ビンタ,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ゴブリンスミス,無,2,スミシー・ボム,敵軍師団一列にダメージ(微),ダメージ,一列,微,,,,,,,,,,,,,,,,,
ワーキャット,無,1,ニャンクロー,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ラタトスク,無,2,ポイズン・ファング,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍単体に毒化付与(１０％),毒化付与,単体,１０％,,,,,,,,,,,,,
コボルドフェンサー,無,2,ファイア・レイピア,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
ウォーウルフ,無,2,狼の戦爪,敵軍単体にダメージ(小),ダメージ,単体,小,自軍師団速度値アップ(１０％),速度値,アップ,１０％,,,,,,,,,,,,,
ベルゲルミル,無,3,ダブルアイスハンマー,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
ギガースジェネラル,無,3,パワー・クラッシュ,敵軍単体にダメージ(中),ダメージ,単体,中,城壁破壊ダメージ(中),城壁ダメージ,,中,,,,,,,,,,,,,
バーラ,無,4,波濤の剣旋,敵軍全体にダメージ(小),ダメージ,全体,小,自軍師団攻撃値アップ(２０％),攻撃値,アップ,２０％,,,,,,,,,,,,,
リザードマン,無,1,串刺し大車輪,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ミノタウロス,無,2,牛胆流極技・座布団,自軍師団回復(微),回復,師団,微,自軍師団攻撃値アップ(５％),攻撃値,アップ,５％,,,,,,,,,,,,,
マーマン,無,2,マッソゥボマー,敵軍師団一列にダメージ(微),ダメージ,一列,微,,,,,,,,,,,,,,,,,
ゴブリンライダー,無,2,アサルト・アタック,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
ホークナイト,無,1,スパイラル・ブリッツ,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
功夫マシラ,無,2,ガロード・エイミング,敵軍師団一列にダメージ(微),ダメージ,一列,微,,,,,,,,,,,,,,,,,
ガロードランサー,無,1,十六手拳,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
オーキシュライダー,無,2,脳削りチャージ,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
エルダーリザード,無,2,トカゲ流槍術,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
ガロードインペイラー,無,3,トルネード・スピア,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,,,,,
